uid,歯科医院名,医院HPのリンク,記事地域名１,表側矯正,裏側矯正,インビザライン,キレイライン矯正,種類が不明な場合,種類①,種類①の費用,種類②,種類②の費用,種類③,種類③の費用,種類④,種類④の費用,キャッチコピー（15~30字）,見出し1（10〜30字）,文章1（100〜150字）,見出し2（10〜30字）,文章2（100〜150字）,見出し3（10〜30字）,文章3（100〜150字）,メモ,口コミ①（30~70字）,口コミ①の引用元,口コミ①の引用リンク,口コミ②（30~70字）,口コミ②の引用元,口コミ②の引用リンク,1枚目のリンク,2枚目のリンク,3枚目のリンク,4枚目のリンク,院長写真のリンク,院長名,院長紹介文,院長紹介文URL,現金,クレジットカード,デンタルローン,銀聯,電子マネー,銀行振込,最寄り駅 最寄り駅からのアクセス,駐車場の有無・駐車可能台数,午前診療時間,午後診療時間,月曜午前,月曜午後,火曜午前,火曜午後,水曜午前,水曜午後,木曜午前,木曜午後,金曜午前,金曜午後,土曜午前,土曜午後,日曜午前,日曜午後,祝日午前,祝日午後,補足の文章,PlaceID,備考,CTA,clinic_name_romaji,doctor_name_romaji,shortcode,サブディレクトリ契約中,送客契約中,KL提携
2,大畑すずらん歯科,https://oohata-suzuran-shika.feedhp.jp/,むつ,,,,23.1〜41.8万円,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,記載なし,記載なし,10:30～13:30,15:00～18:00,●,●,●,●,●,●,ー,ー,●,●,●,●,ー,ー,ー,ー,,ChIJzamNW8E6nF8Rhbr9_hIZ6Go,,,oohatasuzuranshika,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='2']
<!-- /wp:shortcode -->",,,あり
2,板垣矯正歯科,https://bishikai-itagaki.or.jp/,むつ,,,,,,小児矯正,"518,000",大人の矯正治療,"780,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青森駅 徒歩５分,無料駐車場３台,10:00〜13:00,15:00〜18:00,ー,ー,ー,ー,ー,ー,●,●,●,●,★,★,ー,ー,ー,ー,★土曜：9：00〜12：00、14：00〜17：00,ChIJSSpKG0Y_nF8Rs93SmWJA5HE,,,itagakikyouseishika,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='3']
<!-- /wp:shortcode -->",,,
0,"あわさ歯科医院 ",http://www.awasa-shika.com/index.html,むつ,"473,000",,,,,小児矯正,"473,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ＪＲ大湊駅 徒歩約５分,６台分（斜め向いに第２駐車場５台分）,9：00～12：30,14:00～18:00,●,●,●,●,●,●,●,●,●,●,★,ー,ー,ー,ー,ー,★土曜：9：00～13:00,ChIJZf6ahL0_nF8Rr1zi0XDtAnM,,,awasashikaiin,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='4']
<!-- /wp:shortcode -->",,,
2,畑中歯科医院,https://www.hatanaka-dc.com/,むつ,"748,000","1,023,000","1,023,000",,,小児矯正,"341,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,記載なし,駐車場10台,9:00 ～ 13:00,14:30 ～ 18:00,●,●,●,●,●,●,ー,ー,●,●,★,★,ー,ー,ー,ー,★土曜日：9:00～12:30、14:00～17:00,ChIJx4sTdkA_nF8RI8zkicI5UtY,,,hatanakashikaiin,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='5']
<!-- /wp:shortcode -->",,,
2,田中歯科クリニック,https://www.blueberry-dc.com/,むつ,,,,,,小児矯正,"363,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,記載なし,駐車場完備,"9:00～13:00 ",14:30～18:00,●,●,●,●,●,●,●,●,●,●,●,ー,ー,ー,ー,ー,,ChIJUaHn0Ws_nF8R_xV5cPUTRHk,,,tanaka-shika-clinic,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='6']
<!-- /wp:shortcode -->",,,
1,むつ歯科医院,https://62shika.jp/,むつ,"700,000〜",,,,,小児矯正,"302,500",マルチブラケット,"702,500",部分矯正,"302,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,記載なし,記載なし,9:30～13:00,14:30～18:00,●,●,●,●,●,●,●,●,●,●,●,●,ー,ー,ー,ー,,ChIJI57ntUM_nF8RJjkP8UP9PW8,,,mutsushikaiin,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='7']
<!-- /wp:shortcode -->",,,
2,さくら歯科,https://sakuradentalclinic.net/,むつ,,,,,"550,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,下北駅 約1.0km,記載なし,9：00～12：00,13：00～20：30,●,●,●,●,●,●,●,●,●,●,●,★,●,☆,●,☆,※月曜、第二第四日曜日は休診★土曜午後：18:00まで☆日曜、祝日午後：16:00,ChIJRdbgfHA_nF8RWsz3wpIGEEk,,,sakurashika,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='8']
<!-- /wp:shortcode -->",,,
1,みどりがおか歯科クリニック,https://www.midorigaoka-shika-clinic.com/,むつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,下北駅 タクシー4分。,記載なし,9:00～12:30,14:00～18:00,●,●,ー,ー,ー,ー,●,●,●,●,●,●,※,※,ー,ー,※不定期日曜日,ChIJ0yK4Bhc_nF8R1G0FCPIpUaQ,,,midorigaoka-shika-clinic,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='9']
<!-- /wp:shortcode -->",,,
1,八幡歯科医院,https://www.yahatashika.jp/,阿南,"715,000～935,000",,"660,000～",23.1〜41.8万円,"495,000～880,000",小児矯正,"440,000",Ⅱ期矯正,"715,000～935,000",床矯正,"33,000～220,000",予防矯正,"440,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,記載なし,記載なし,8:45～18:00,,●,●,●,●,●,●,★,★,●,●,●,●,―,―,―,―,"★：8:45～13:00/14:00～19:00 第2,4木曜は休診、祝祭日のある週は診療",ChIJKQ_PTfETUzURySU_X_bPdh0,,,hachimanshikaiin-721,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='10']
<!-- /wp:shortcode -->",,,あり
1,くろさわ歯科,https://kurosawa-dent.com/,阿南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿波中島駅 徒歩20分,無料駐車場16台,9:00～13:00,14:30～19:00,●,●,●,●,●,●,●,ー,●,●,●,●,ー,ー,ー,ー,,ChIJyzazqOsVUzUR4riK8MFvMzE,,,kurosawashika,,"<!-- wp:shortcode -->
[show_clinic_db table_id='1' row_id='11']
<!-- /wp:shortcode -->",,,
